day,q00,q11,r,h,rmse,hit,pnl,pos
-1,0.1,0.005,4.0,20,2.0583696241913927,0.3547863710113575,79319.0,80
-1,0.1,0.005,4.0,25,2.3025421527705197,0.35294753921038396,79288.0,80
-1,0.1,0.005,8.0,10,1.5534775080539927,0.39945916711736074,80158.5,80
-1,0.1,0.005,8.0,12,1.6128533835402998,0.38702001081665766,80065.0,80
-1,0.1,0.005,8.0,15,1.6896039732673012,0.3763115197404002,79770.0,80
-1,0.1,0.005,8.0,20,1.8453323545877476,0.3625743645213629,79450.5,80
-1,0.1,0.005,8.0,25,2.02819818254688,0.356625202812331,79357.5,80
-1,0.1,0.01,1.0,10,2.2187336281269228,0.3177934018388318,78677.5,80
-1,0.1,0.01,1.0,12,2.430255664146803,0.30914007571660357,78272.5,80
-1,0.1,0.01,1.0,15,2.72990639234496,0.30027041644131963,77870.5,80
-1,0.1,0.01,1.0,20,3.258357545486652,0.29259058950784206,77550.5,80
-1,0.1,0.01,1.0,25,3.8257197385185693,0.2884802595997837,77391.5,80
-1,0.1,0.01,2.0,10,1.9816410866567775,0.3497025419145484,79195.0,80
-1,0.1,0.01,2.0,12,2.141275610521776,0.3402920497566252,79108.0,80
-1,0.1,0.01,2.0,15,2.363623200307283,0.3307733910221741,78890.0,80
-1,0.1,0.01,2.0,20,2.7661664168960627,0.32114656571119526,78397.0,80
-1,0.1,0.01,2.0,25,3.2068552100331287,0.31498107084910765,78093.0,80
-1,0.1,0.01,4.0,10,1.7977194890245365,0.3722011898323418,79683.0,80
-1,0.1,0.01,4.0,12,1.915261242692212,0.36149269875608436,79416.0,80
-1,0.1,0.01,4.0,15,2.075947434535189,0.3519740400216333,79245.0,80
-1,0.1,0.01,4.0,20,2.376734522091553,0.34472687939426716,79152.0,80
-1,0.1,0.01,4.0,25,2.7136119809625647,0.33996755002704165,78969.0,80
-1,0.1,0.01,8.0,10,1.6583756876145685,0.3887506760411033,79993.5,80
-1,0.1,0.01,8.0,12,1.743233891622809,0.37739318550567874,79759.0,80
-1,0.1,0.01,8.0,15,1.8568006451448185,0.3658193618171985,79463.0,80
-1,0.1,0.01,8.0,20,2.077872828235933,0.3550027041644132,79302.0,80
-1,0.1,0.01,8.0,25,2.33130814896988,0.3526230394808004,79248.0,80
-1,0.1,0.05,1.0,10,3.2167336207493236,0.23320713899405085,76052.5,80
-1,0.1,0.05,1.0,12,3.6514568256986877,0.2302866414277988,75820.5,80
-1,0.1,0.05,1.0,15,4.288153001922867,0.225743645213629,75632.5,80
-1,0.1,0.05,1.0,20,5.3697907007316905,0.22260681449432126,75478.0,80
-1,0.1,0.05,1.0,25,6.4903841149341055,0.22022714981070848,75340.5,80
-1,0.1,0.05,2.0,10,2.741715667093286,0.26965927528393724,77032.5,80
-1,0.1,0.05,2.0,12,3.076879953463495,0.26176311519740403,76743.5,80
-1,0.1,0.05,2.0,15,3.562233122587887,0.2531097890751758,76501.0,80
-1,0.1,0.05,2.0,20,4.397018246019287,0.2461871281773932,76221.5,80
-1,0.1,0.05,2.0,25,5.270533779258675,0.2427257977285019,75973.0,80
-1,0.1,0.05,4.0,10,2.3684999003735165,0.3079502433747972,78100.5,80
-1,0.1,0.05,4.0,12,2.6217701333546186,0.29821525148729044,77711.0,80
-1,0.1,0.05,4.0,15,2.9838905331749177,0.2893455922120065,77308.5,80
-1,0.1,0.05,4.0,20,3.618053268614375,0.27777176852352625,77041.0,80
-1,0.1,0.05,4.0,25,4.29132454733579,0.27290427257977284,76865.5,80
-1,0.1,0.05,8.0,10,2.08181556945209,0.34072471606273663,79053.5,80
-1,0.1,0.05,8.0,12,2.2693174749544975,0.33055705786911843,78816.5,80
-1,0.1,0.05,8.0,15,2.5336168266763197,0.3189832341806382,78387.5,80
-1,0.1,0.05,8.0,20,3.0081685494793144,0.3079502433747972,77914.5,80
-1,0.1,0.05,8.0,25,3.5217378145031613,0.3028664142779881,77628.5,80
-1,0.1,0.1,1.0,10,3.8847543344094366,0.21416982152514874,75016.5,80
-1,0.1,0.1,1.0,12,4.460467536728953,0.2112493239588967,74903.0,80
-1,0.1,0.1,1.0,15,5.311728335379122,0.20854515954570038,74729.0,80
-1,0.1,0.1,1.0,20,6.745780551615384,0.20638182801514332,74588.5,80
-1,0.1,0.1,1.0,25,8.219384675867591,0.20508382909680908,74524.0,80
-1,0.1,0.1,2.0,10,3.2587686185038955,0.23223363980530015,75908.5,80
-1,0.1,0.1,2.0,12,3.7063120857508327,0.23017847485127096,75692.5,80
-1,0.1,0.1,2.0,15,4.361780675062559,0.2259599783666847,75486.5,80
-1,0.1,0.1,2.0,20,5.47501593265151,0.2222823147647377,75319.0,80
-1,0.1,0.1,2.0,25,6.62691627449289,0.21979448350459707,75159.5,80
-1,0.1,0.1,4.0,10,2.762748426144615,0.2689021092482423,76941.5,80
-1,0.1,0.1,4.0,12,3.104865124055692,0.2611141157382369,76687.0,80
